orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
200000,2024-08-14,2024-08-19,In Process,10902,1480.48,Invoice
200001,2024-04-06,2024-04-11,Disputed,10287,3203.23,Invoice
200002,2024-07-01,2024-07-10,Cancelled,10839,575.36,Invoice
200003,2024-05-03,2024-05-07,Delivered,10877,1946.77,Credit Card
200004,2024-02-29,2024-03-04,Cancelled,10202,5681.39,Bank Transfer
200005,2024-03-24,2024-03-31,Cancelled,10091,5557.24,Bank Transfer
200006,2024-10-11,2024-10-13,In Process,10824,3549.84,Invoice
200007,2024-04-11,2024-04-17,Cancelled,10847,5595.98,Credit Card
200008,2024-07-22,2024-07-28,Cancelled,10984,4393.6,COD
200009,2024-04-07,2024-04-12,In Process,10390,1026.74,COD
200010,2024-06-25,2024-07-01,Delivered,10873,1126.61,COD
200011,2024-04-29,2024-05-06,In Process,10617,4839.22,Bank Transfer
200012,2024-02-27,2024-03-07,In Process,10299,520.23,Invoice
200013,2024-10-11,2024-10-17,Shipped,10701,6459.96,COD
200014,2024-06-05,2024-06-07,Disputed,10967,6708.59,COD
200015,2024-01-13,2024-01-19,Cancelled,10390,876.9,COD
200016,2024-04-24,2024-04-30,Shipped,10474,3256.27,Invoice
200017,2024-05-22,2024-05-30,Cancelled,10274,3520.16,Credit Card
200018,2024-05-04,2024-05-08,Shipped,10144,4075.42,COD
200019,2024-06-25,2024-07-04,In Process,10766,4067.24,Credit Card
200020,2024-04-12,2024-04-19,In Process,10049,6731.67,Credit Card
200021,2024-04-12,2024-04-18,Disputed,10489,3474.79,Invoice
200022,2024-09-08,2024-09-13,Shipped,10393,4788.5,Bank Transfer
200023,2024-01-16,2024-01-24,In Process,10629,635.36,Bank Transfer
200024,2024-01-02,2024-01-06,Cancelled,10558,7002.14,Credit Card
200025,2024-01-14,2024-01-23,In Process,10395,4968.12,Invoice
200026,2024-02-11,2024-02-15,Delivered,10137,4328.83,Bank Transfer
200027,2024-06-14,2024-06-16,Shipped,10815,6374.71,Credit Card
200028,2024-04-08,2024-04-17,Cancelled,10495,2219.54,COD
200029,2024-09-02,2024-09-09,Cancelled,10905,3509.61,Bank Transfer
