productCode,productName,productCategory,quantityInStock,buyPrice,MSRP
P_100,Managed encompassing function,Services,5983,392.18,510.69
P_101,Face-to-face asymmetric strategy,Apparel,3418,600.36,1078.15
P_102,Exclusive non-volatile infrastructure,Books,5251,125.03,229.61
P_103,Expanded holistic attitude,Electronics,6551,129.05,171.59
P_104,Expanded demand-driven architecture,Electronics,297,211.85,354.89
P_105,Virtual intangible open system,Services,965,311.11,500.57
P_106,Synergized tangible open system,Books,3262,540.58,998.2
P_107,Seamless asynchronous structure,Services,3390,678.72,1463.92
P_108,Reduced content-based superstructure,Home Goods,6418,410.98,566.88
P_109,Configurable 6thgeneration paradigm,Services,4518,580.4,786.17
P_110,Phased next generation system engine,Tools,5450,16.66,32.52
P_111,Multi-lateral grid-enabled open architecture,Services,4461,304.65,600.1
P_112,Seamless disintermediate service-desk,Home Goods,6408,592.85,1350.42
P_113,Visionary leadingedge concept,Services,2148,433.87,535.9
P_114,Future-proofed content-based artificial intelligence,Services,68,363.22,809.03
P_115,Inverse mobile algorithm,Electronics,4360,589.05,1218.76
P_116,Inverse contextually-based collaboration,Services,4532,575.84,1129.45
P_117,Team-oriented non-volatile system engine,Tools,2394,656.41,1619.86
P_118,Customer-focused composite middleware,Tools,522,166.33,254.35
P_119,Down-sized 6thgeneration strategy,Apparel,1546,231.83,454.35
P_120,Public-key well-modulated approach,Services,6569,299.31,363.98
P_121,Business-focused cohesive capability,Books,2540,497.21,988.98
P_122,Organized discrete Graphic Interface,Services,1003,419.29,604.02
P_123,Managed disintermediate application,Tools,6884,535.02,981.94
P_124,Centralized tangible functionalities,Books,4594,188.34,376.14
P_125,Synchronized 24/7 secured line,Tools,2030,122.73,243.9
P_126,Centralized holistic interface,Home Goods,5479,390.3,768.69
P_127,Future-proofed national implementation,Electronics,3307,730.47,1517.17
P_128,Visionary composite task-force,Tools,4116,302.08,614.17
P_129,Phased systematic database,Electronics,5528,675.15,1168.91
P_130,Quality-focused incremental toolset,Services,1132,425.1,582.54
P_131,Visionary actuating algorithm,Home Goods,3017,316.93,733.46
P_132,Integrated multi-state help-desk,Services,1094,283.11,680.49
P_133,Distributed solution-oriented array,Books,1011,354.1,616.06
P_134,Streamlined 6thgeneration emulation,Tools,580,541.46,892.4
P_135,Open-source 6thgeneration parallelism,Home Goods,1374,68.46,128.36
P_136,Expanded zero-defect process improvement,Electronics,6702,576.64,1418.02
P_137,Grass-roots dedicated open system,Services,6773,65.14,152.01
P_138,Profit-focused object-oriented website,Apparel,6384,362.78,652.55
P_139,Realigned reciprocal open architecture,Electronics,3281,718.27,1141.77
P_140,Public-key analyzing encryption,Home Goods,1510,236.09,349.28
P_141,Visionary solution-oriented challenge,Books,1091,318.32,744.96
P_142,Open-source non-volatile benchmark,Home Goods,4253,635.99,998.07
P_143,Open-source value-added infrastructure,Electronics,3700,505.27,852.55
P_144,Organized next generation Graphic Interface,Services,4563,61.57,124.0
P_145,Synergistic multimedia task-force,Services,3733,682.81,1649.11
P_146,Sharable value-added capability,Tools,1654,97.4,136.32
P_147,Multi-tiered 24hour task-force,Services,241,24.69,35.36
P_148,Multi-layered tangible Graphic Interface,Services,1306,468.44,1048.44
P_149,Adaptive hybrid moratorium,Books,3598,98.84,135.58
P_150,Profound background open system,Apparel,2664,396.22,697.94
P_151,Future-proofed 24/7 application,Tools,3540,497.2,1065.38
P_152,Profound web-enabled moderator,Books,3870,579.07,1106.68
P_153,Enterprise-wide empowering application,Home Goods,5257,456.37,944.51
P_154,Customer-focused radical hub,Home Goods,1677,741.2,1579.15
P_155,Advanced zero tolerance paradigm,Home Goods,6285,115.52,260.57
P_156,Multi-lateral multi-tasking groupware,Services,1445,473.3,1097.45
P_157,Front-line secondary model,Tools,4234,123.51,262.75
P_158,Multi-lateral solution-oriented function,Home Goods,5858,620.6,1331.75
P_159,Programmable homogeneous task-force,Books,3926,424.18,656.62
P_160,Stand-alone radical emulation,Tools,19,109.3,144.55
P_161,De-engineered client-server encoding,Books,5371,129.55,219.72
P_162,Ergonomic modular superstructure,Tools,1023,492.21,1120.64
P_163,Implemented executive data-warehouse,Books,5004,335.18,828.25
P_164,Re-contextualized attitude-oriented encoding,Electronics,275,520.31,1097.85
P_165,Right-sized local challenge,Apparel,1308,108.66,162.82
P_166,Profit-focused executive paradigm,Apparel,4401,252.43,506.4
P_167,Persistent maximized data-warehouse,Electronics,149,341.6,786.83
P_168,Visionary well-modulated analyzer,Electronics,5072,172.64,220.76
P_169,Integrated leadingedge utilization,Books,2317,332.18,566.19
P_170,Sharable needs-based orchestration,Electronics,5810,245.74,350.96
P_171,Configurable well-modulated standardization,Books,4852,377.91,551.17
P_172,Progressive uniform capability,Books,3984,292.76,731.49
P_173,Open-source clear-thinking knowledge user,Services,4013,614.55,1008.18
P_174,Visionary discrete architecture,Services,6485,224.84,296.14
P_175,Cloned scalable frame,Services,3034,607.01,909.36
P_176,Monitored next generation portal,Home Goods,2954,598.45,1217.81
P_177,Synergized even-keeled algorithm,Electronics,4846,665.59,905.11
P_178,Adaptive methodical functionalities,Services,4821,191.57,338.04
P_179,Reactive well-modulated adapter,Home Goods,247,299.78,437.42
P_180,Synergized value-added product,Apparel,1394,616.3,835.32
P_181,Multi-lateral methodical project,Apparel,6441,90.59,226.42
P_182,User-friendly mobile hub,Apparel,916,448.19,677.6
P_183,Proactive tangible help-desk,Books,5641,467.22,584.85
P_184,Mandatory local synergy,Home Goods,6761,682.16,857.93
P_185,Quality-focused object-oriented Local Area Network,Home Goods,260,542.89,1070.32
P_186,Business-focused full-range capability,Tools,4180,413.91,986.64
P_187,Integrated client-driven array,Services,1118,214.01,309.14
P_188,Horizontal uniform algorithm,Services,2119,337.39,492.02
P_189,Robust real-time system engine,Tools,6266,714.82,1213.84
P_190,Managed 24hour definition,Tools,4124,42.65,77.18
P_191,Front-line system-worthy middleware,Electronics,1149,75.94,116.89
P_192,Horizontal next generation definition,Books,5504,608.41,1352.55
P_193,Cloned intermediate Local Area Network,Books,2141,601.26,781.76
P_194,Automated upward-trending capacity,Books,3058,506.1,809.56
P_195,User-centric web-enabled matrix,Services,3291,144.38,228.22
P_196,Phased analyzing customer loyalty,Apparel,3669,499.18,1075.87
