orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
200000,2024-03-24,2024-04-02,Cancelled,10552,1143.92,COD
200001,2024-08-05,2024-08-11,Shipped,10090,5881.81,
200002,2024-03-15,2024-03-22,Shipped,10728,5063.93,Invoice
200003,2024-07-17,2024-07-25,Delivered,10462,5618.32,COD
200004,2024-10-24,2024-10-27,Cancelled,10482,4943.9,COD
200005,2024-02-28,2024-03-02,Delivered,10861,1687.67,Bank Transfer
200006,2024-09-12,2024-09-21,In Process,10468,5464.63,Bank Transfer
200007,2024-09-13,2024-09-22,Shipped,10056,1803.06,Invoice
200008,2024-03-24,2024-04-02,Delivered,10361,6352.81,Bank Transfer
200009,2024-02-21,2024-02-27,In Process,10235,72.93,COD
200010,2024-03-04,2024-03-13,Delivered,10346,2830.11,COD
200011,2024-06-26,2024-07-01,In Process,10551,3147.21,Bank Transfer
200012,2024-03-19,2024-03-23,In Process,10826,3443.52,COD
200013,2024-09-17,2024-09-21,Shipped,10086,6052.28,Bank Transfer
200014,2024-02-12,2024-02-14,Delivered,10816,3757.51,Bank Transfer
200015,2024-09-21,2024-09-25,In Process,10245,5848.2,COD
200016,2024-01-23,2024-01-29,Cancelled,10558,6597.71,Bank Transfer
200017,2024-10-07,2024-10-16,Shipped,10882,764.35,COD
200018,2024-10-04,2024-10-07,Shipped,10204,3332.39,Bank Transfer
200019,2024-09-12,2024-09-18,Cancelled,10978,2676.58,Credit Card
200020,2024-07-29,2024-07-31,Cancelled,10391,837.41,Bank Transfer
200021,2024-08-05,2024-08-12,Cancelled,10035,2813.72,COD
200022,2024-01-19,2024-01-21,Shipped,10571,1647.37,Invoice
200023,2024-08-04,2024-08-08,Disputed,10504,4952.52,
200024,2024-07-04,2024-07-08,Disputed,10711,5247.67,Bank Transfer
200025,2024-05-18,2024-05-23,Shipped,10545,300.05,Credit Card
200026,2024-09-11,2024-09-15,Delivered,10868,3147.39,COD
200027,2024-06-16,2024-06-24,Disputed,10229,5635.99,Credit Card
200028,2024-07-12,2024-07-15,Disputed,10850,5495.28,COD
200029,2024-02-19,2024-02-23,Disputed,10759,3898.91,Bank Transfer
200030,2024-02-19,2024-02-26,Delivered,10164,2411.15,Credit Card
200031,2024-04-22,2024-04-30,Disputed,10069,4133.77,Credit Card
200032,2024-08-28,2024-09-02,Delivered,10234,3402.01,
200033,2024-07-27,2024-08-04,Disputed,10086,3980.7,Invoice
200034,2024-07-18,2024-07-28,Delivered,10694,6663.53,Invoice
200035,2024-06-24,2024-06-26,Disputed,10291,775.36,Bank Transfer
200036,2024-04-19,2024-04-25,Cancelled,10097,362.15,COD
200037,2024-03-07,2024-03-13,Disputed,10084,6646.73,COD
200038,2024-07-07,2024-07-09,Disputed,10948,4129.33,Invoice
200039,2024-07-18,2024-07-27,Disputed,10499,5263.73,Credit Card
200040,2024-08-01,2024-08-06,In Process,10458,3866.6,Credit Card
200041,2024-04-10,2024-04-12,Disputed,10278,3755.78,Invoice
200042,2024-06-07,2024-06-13,Disputed,10334,6378.15,COD
200043,2024-09-20,2024-09-25,Delivered,10388,6028.08,Invoice
200044,2024-08-04,2024-08-14,Cancelled,10753,3356.62,COD
200045,2024-06-24,2024-06-27,Delivered,10131,6865.9,Bank Transfer
200046,2024-05-07,2024-05-10,Cancelled,10966,4941.33,Invoice
200047,2024-10-19,2024-10-24,Cancelled,10945,3130.29,Bank Transfer
200048,2024-10-06,2024-10-13,Delivered,10101,1861.47,Bank Transfer
200049,2024-07-04,2024-07-11,Disputed,10137,3045.6,Invoice
200050,2024-02-14,2024-02-21,Cancelled,10571,2141.01,Bank Transfer
200051,2024-03-20,2024-03-22,Delivered,10395,1800.3,Bank Transfer
200052,2024-01-05,2024-01-12,In Process,10058,6242.17,Bank Transfer
200053,2024-03-13,2024-03-22,Disputed,10678,5779.88,Invoice
200054,2024-09-06,2024-09-09,Delivered,10408,4609.72,COD
200055,2024-08-21,2024-08-31,Delivered,10270,6367.66,Bank Transfer
200056,2024-09-16,2024-09-18,Cancelled,10637,145.28,Invoice
200057,2024-07-07,2024-07-09,In Process,10044,784.79,COD
200058,2024-01-04,2024-01-09,In Process,10936,5989.18,COD
200059,2024-01-26,2024-02-05,In Process,10527,433.03,Bank Transfer
200060,2024-01-23,2024-01-27,Delivered,10029,1452.54,Bank Transfer
200061,2024-10-26,2024-10-31,Cancelled,10980,3991.95,COD
200062,2024-09-30,2024-10-05,Cancelled,10391,4868.53,Bank Transfer
200063,2024-09-19,2024-09-27,In Process,10121,4129.96,Bank Transfer
200064,2024-09-22,2024-10-01,Cancelled,10039,3857.8,Invoice
200065,2024-09-15,2024-09-24,Cancelled,10791,3537.4,Bank Transfer
200066,2024-08-19,2024-08-29,Cancelled,10409,5335.24,Credit Card
200067,2024-01-17,2024-01-25,Cancelled,10845,79.33,Bank Transfer
200068,2024-06-05,2024-06-14,Cancelled,10014,4023.78,Bank Transfer
200069,2024-04-24,2024-04-26,Shipped,10439,3832.1,Credit Card
200070,2024-07-06,2024-07-15,In Process,10829,6155.45,Credit Card
200071,2024-05-28,2024-06-05,Delivered,10785,3174.19,COD
200072,2024-01-05,2024-01-09,Delivered,10723,4144.86,Bank Transfer
200073,2024-09-29,2024-10-09,Disputed,10231,3531.53,COD
200074,2024-05-24,2024-06-01,In Process,10840,2123.06,Bank Transfer
200075,2024-03-12,2024-03-15,Shipped,10262,4281.21,COD
200076,2024-03-20,2024-03-26,In Process,10725,3091.95,Bank Transfer
200077,2024-05-08,2024-05-11,In Process,10089,5792.3,Bank Transfer
200078,2024-01-12,2024-01-19,Delivered,10823,6410.43,Bank Transfer
200079,2024-01-27,2024-02-05,Delivered,10674,4087.15,Invoice
200080,2024-04-30,2024-05-10,Shipped,10999,7291.9,Credit Card
200081,2024-01-25,2024-02-01,In Process,10933,85.23,Invoice
200082,2024-10-20,2024-10-25,Cancelled,10412,3598.91,Bank Transfer
200083,2024-03-23,2024-04-01,Delivered,10080,4639.45,Credit Card
200084,2024-03-11,2024-03-20,Cancelled,10047,5336.66,Bank Transfer
200085,2024-05-24,2024-05-30,In Process,10492,1592.39,COD
200086,2024-01-07,2024-01-16,In Process,10914,4920.89,Credit Card
200087,2024-06-16,2024-06-26,Shipped,10296,1237.78,Bank Transfer
200088,2024-05-04,2024-05-10,Shipped,10212,3032.52,Credit Card
200089,2024-10-20,2024-10-25,Cancelled,10732,4642.63,Credit Card
200090,2024-08-25,2024-09-01,Disputed,10218,1000.05,COD
200091,2024-10-21,2024-10-30,In Process,10025,1391.4,Credit Card
200092,2024-06-01,2024-06-07,In Process,10377,7336.03,COD
200093,2024-09-25,2024-10-01,Shipped,10965,2651.13,COD
200094,2024-06-25,2024-07-04,Shipped,10146,3470.9,Credit Card
200095,2024-10-03,2024-10-08,In Process,10482,2200.68,COD
200096,2024-04-06,2024-04-10,Cancelled,10534,6419.29,COD
200097,2024-03-08,2024-03-10,Disputed,10134,1993.22,COD
200098,2024-01-15,2024-01-18,Delivered,10368,5567.02,Credit Card
200099,2024-07-30,2024-08-05,Shipped,10225,554.1,Credit Card
200100,2024-05-06,2024-05-09,Delivered,10983,3678.69,Credit Card
200101,2024-04-10,2024-04-14,Shipped,10673,3860.87,Credit Card
200102,2024-05-14,2024-05-21,Shipped,10522,800.92,COD
200103,2024-08-07,2024-08-09,In Process,10290,945.7,COD
200104,2024-04-22,2024-05-02,Delivered,10861,645.89,Credit Card
200105,2024-09-13,2024-09-23,Cancelled,10019,2624.6,Bank Transfer
200106,2024-09-14,2024-09-21,Delivered,10428,5317.02,Bank Transfer
200107,2024-08-02,2024-08-04,Disputed,10081,2419.78,COD
200108,2024-06-25,2024-07-04,In Process,10874,6311.22,COD
200109,2024-05-08,2024-05-16,Cancelled,10395,3402.54,COD
200110,2024-05-30,2024-06-06,Cancelled,10545,1217.85,Bank Transfer
200111,2024-09-27,2024-09-29,In Process,10915,2027.48,Credit Card
200112,2024-09-06,2024-09-08,Shipped,10361,431.99,COD
200113,2024-01-09,2024-01-13,Shipped,10533,1303.24,Invoice
200114,2024-07-22,2024-07-27,Delivered,10453,5878.65,Invoice
200115,2024-03-23,2024-04-02,Disputed,10852,3910.41,Bank Transfer
200116,2024-01-25,2024-02-02,Delivered,10861,5995.35,COD
200117,2024-03-27,2024-03-31,Shipped,10638,5838.64,COD
200118,2024-02-23,2024-02-28,Cancelled,10488,295.32,Invoice
200119,2024-09-04,2024-09-07,Delivered,10692,5718.87,COD
200120,2024-08-23,2024-08-29,Shipped,10111,6101.54,Invoice
200121,2024-04-22,2024-05-01,In Process,10374,2731.46,Invoice
200122,2024-03-21,2024-03-24,Disputed,10385,5259.07,COD
200123,2024-10-23,2024-10-25,In Process,10900,2422.07,COD
200124,2024-01-13,2024-01-18,In Process,10894,247.59,Credit Card
200125,2024-03-27,2024-03-29,Disputed,10343,6992.85,Invoice
200126,2024-09-17,2024-09-19,Delivered,10304,786.9,Credit Card
200127,2024-09-05,2024-09-10,Cancelled,10687,3721.5,Bank Transfer
200128,2024-09-17,2024-09-27,In Process,10917,4414.76,Credit Card
200129,2024-08-25,2024-09-02,Delivered,10582,3658.06,Invoice
200130,2024-03-25,2024-04-02,Cancelled,10381,6085.41,Bank Transfer
200131,2024-07-18,2024-07-26,Disputed,10790,2246.31,Invoice
200132,2024-09-24,2024-10-01,In Process,10435,5249.38,COD
200133,2024-02-01,2024-02-06,Disputed,10345,3778.88,COD
200134,2024-04-17,2024-04-21,In Process,10602,7306.46,Invoice
200135,2024-02-26,2024-03-05,In Process,10828,2742.46,Bank Transfer
200136,2024-06-18,2024-06-23,Shipped,10310,7085.24,COD
200137,2024-02-01,2024-02-06,Disputed,10764,3285.94,Invoice
200138,2024-05-31,2024-06-08,Delivered,10209,727.38,COD
200139,2024-06-20,2024-06-28,Shipped,10733,3379.85,Credit Card
200140,2024-10-10,2024-10-17,Shipped,10877,321.21,Invoice
200141,2024-01-27,2024-02-06,Delivered,10754,4219.29,COD
200142,2024-02-24,2024-02-28,Disputed,10111,308.62,Bank Transfer
200143,2024-10-08,2024-10-10,Disputed,10943,4798.84,Bank Transfer
200144,2024-06-03,2024-06-05,Delivered,10849,1524.91,Bank Transfer
200145,2024-06-20,2024-06-24,In Process,10303,4219.86,COD
200146,2024-06-19,2024-06-28,Cancelled,10712,2926.13,Credit Card
200147,2024-10-16,2024-10-23,Delivered,10457,994.87,Bank Transfer
200148,2024-02-05,2024-02-11,In Process,10728,2520.23,Credit Card
200149,2024-07-08,2024-07-15,Delivered,10356,3424.94,Invoice
200150,2024-09-30,2024-10-05,In Process,10154,1759.37,Invoice
200151,2024-06-14,2024-06-17,In Process,10925,3256.59,COD
200152,2024-06-01,2024-06-07,Delivered,10874,6044.97,Invoice
200153,2024-07-29,2024-08-02,Shipped,10919,5034.84,COD
200154,2024-06-08,2024-06-11,Delivered,10056,5482.91,Invoice
200155,2024-07-09,2024-07-12,Shipped,10882,4629.74,Credit Card
200156,2024-09-02,2024-09-08,Cancelled,10811,353.87,Credit Card
200157,2024-01-24,2024-02-02,Cancelled,10207,4619.87,Invoice
200158,2024-10-01,2024-10-09,Shipped,10951,588.33,Credit Card
200159,2024-05-08,2024-05-13,Cancelled,10462,6454.02,Bank Transfer
200160,2024-06-11,2024-06-19,In Process,10498,1840.73,Invoice
200161,2024-08-07,2024-08-17,Disputed,10107,3425.83,Credit Card
200162,2024-03-04,2024-03-09,Shipped,10659,3830.4,COD
200163,2024-04-28,2024-05-05,Cancelled,10161,4780.88,Bank Transfer
200164,2024-08-27,2024-08-31,Cancelled,10423,5153.21,Credit Card
200165,2024-07-01,2024-07-07,Delivered,10993,529.5,Bank Transfer
200166,2024-05-27,2024-05-31,Disputed,10805,3712.12,Bank Transfer
200167,2024-10-18,2024-10-20,Delivered,10689,412.27,Invoice
200168,2024-01-27,2024-01-31,In Process,10958,5005.08,Credit Card
200169,2024-02-16,2024-02-26,Disputed,10196,6019.75,Bank Transfer
200170,2024-04-03,2024-04-11,Cancelled,10122,6692.87,Bank Transfer
200171,2024-06-21,2024-07-01,Delivered,10041,1868.68,
200172,2024-05-01,2024-05-06,Disputed,10445,4301.62,Credit Card
200173,2024-08-13,2024-08-21,In Process,10920,5965.02,Invoice
200174,2024-10-06,2024-10-10,Shipped,10960,1646.93,Credit Card
200175,2024-05-30,2024-06-05,Shipped,10386,3109.13,COD
200176,2024-02-23,2024-02-29,Delivered,10845,6753.95,Invoice
200177,2024-09-19,2024-09-29,Shipped,10053,3711.96,Bank Transfer
200178,2024-07-27,2024-08-03,Delivered,10857,4548.6,Bank Transfer
200179,2024-01-11,2024-01-20,Cancelled,10050,5627.51,Bank Transfer
200180,2024-04-24,2024-05-04,Delivered,10121,4714.91,Bank Transfer
200181,2024-03-22,2024-03-25,Delivered,10369,866.01,Bank Transfer
200182,2024-05-29,2024-06-02,In Process,10755,574.46,Invoice
200183,2024-04-03,2024-04-12,Delivered,10594,6574.7,Invoice
200184,2024-10-19,2024-10-27,Disputed,10884,329.13,Bank Transfer
200185,2024-03-24,2024-03-30,Shipped,10136,3779.79,Bank Transfer
200186,2024-01-15,2024-01-24,In Process,10584,1696.75,Invoice
200187,2024-06-24,2024-07-03,Cancelled,10238,6466.52,Credit Card
200188,2024-07-19,2024-07-27,Shipped,10395,4919.74,Bank Transfer
200189,2024-01-22,2024-01-28,Shipped,10421,6974.01,Invoice
200190,2024-08-10,2024-08-20,In Process,10945,372.25,COD
200191,2024-05-26,2024-05-28,Shipped,10062,858.79,Credit Card
200192,2024-01-12,2024-01-19,Cancelled,10033,6858.48,COD
