ip,timestamp,method,endpoint,status,response_time_ms,parsed_timestamp
192.168.1.1,15/Nov/2025:14:43:45 +0000,PUT,/cart,404,960,2025-11-15 15:43:45
192.168.1.19,10/Nov/2025:01:35:24 +0000,POST,/search?q=spark,200,398,2025-11-10 02:35:24
192.168.1.11,07/Nov/2025:15:23:10 +0000,PUT,/search?q=spark,200,268,2025-11-07 16:23:10
192.168.1.5,19/Nov/2025:12:50:10 +0000,PUT,/search?q=spark,500,951,2025-11-19 13:50:10
192.168.1.2,04/Nov/2025:10:32:30 +0000,DELETE,/checkout,304,1384,2025-11-04 11:32:30
192.168.1.16,13/Nov/2025:10:10:38 +0000,POST,/cart,200,307,2025-11-13 11:10:38
192.168.1.3,01/Nov/2025:17:40:44 +0000,PUT,/images/logo.png,503,1449,2025-11-01 18:40:44
192.168.1.10,10/Nov/2025:06:56:04 +0000,GET,/home,503,431,2025-11-10 07:56:04
192.168.1.16,04/Nov/2025:09:43:05 +0000,POST,/cart,200,1456,2025-11-04 10:43:05
192.168.1.11,04/Nov/2025:08:11:04 +0000,GET,/api/data,200,341,2025-11-04 09:11:04
192.168.1.19,01/Nov/2025:13:56:31 +0000,POST,/cart,500,1894,2025-11-01 14:56:31
192.168.1.9,09/Nov/2025:00:16:43 +0000,DELETE,/checkout,503,33,2025-11-09 01:16:43
192.168.1.14,07/Nov/2025:23:12:00 +0000,PUT,/images/logo.png,200,418,2025-11-08 00:12:00
192.168.1.10,01/Nov/2025:22:28:07 +0000,DELETE,/error_page,500,1198,2025-11-01 23:28:07
192.168.1.17,17/Nov/2025:08:34:54 +0000,PUT,/api/data,200,1251,2025-11-17 09:34:54
192.168.1.12,17/Nov/2025:20:59:19 +0000,PUT,/products,304,52,2025-11-17 21:59:19
192.168.1.15,13/Nov/2025:06:52:01 +0000,GET,/checkout,304,1408,2025-11-13 07:52:01
192.168.1.10,08/Nov/2025:12:13:42 +0000,POST,/checkout,200,336,2025-11-08 13:13:42
192.168.1.7,07/Nov/2025:12:38:35 +0000,POST,/cart,304,223,2025-11-07 13:38:35
192.168.1.14,09/Nov/2025:12:46:20 +0000,GET,/search?q=spark,200,866,2025-11-09 13:46:20
192.168.1.10,14/Nov/2025:19:43:40 +0000,DELETE,/checkout,500,250,2025-11-14 20:43:40
192.168.1.3,02/Nov/2025:17:59:44 +0000,PUT,/api/data,200,1883,2025-11-02 18:59:44
192.168.1.6,04/Nov/2025:10:31:59 +0000,GET,/products/123,200,946,2025-11-04 11:31:59
192.168.1.18,09/Nov/2025:21:38:55 +0000,GET,/products/123,500,1287,2025-11-09 22:38:55
192.168.1.5,20/Nov/2025:14:36:50 +0000,PUT,/cart,503,227,2025-11-20 15:36:50
